id,pattern,reward
Prof Ellis28,"['d', 'a', 'a', 'a', 'w', 'd', 'd', 'a', 'w', 'a', 'w', 'w', 'a', 'w', 'w', 'w', 'a', 'w', 'a', 'w', 'w', 'w', 'w', 'a', 'w', 'd', 'w', 'w', 'w', 'a', 'd', 'a', 'w', 'w', 'd', 'w', 'd', 'a', 'w', 'a']",0
Prof Ellis29,"['w', 'w', 'd', 'w', 'a', 'a', 'a', 'd', 'w', 'w', 'w', 'w', 'w', 'd', 'w', 'd', 'd', 'd', 'w', 'a', 'd', 'a', 'w', 'd', 'w', 'd', 'd', 'a', 'a', 'w', 'a', 'w', 'w', 'w', 'w', 'a', 'a', 'a', 'a', 'd']",129.5
Prof Ellis30,"['d', 'd', 'a', 'a', 'w', 'd', 'a', 'd', 'w', 'w', 'd', 'd', 'd', 'd', 'a', 'w', 'a', 'd', 'w', 'a', 'w', 'd', 'w', 'a', 'a', 'w', 'a', 'a', 'd', 'd', 'd', 'a', 'w', 'a', 'w', 'd', 'a', 'd', 'a', 'a']",-0.5
Prof Ellis31,"['a', 'w', 'd', 'd', 'a', 'd', 'd', 'd', 'a', 'a', 'a', 'a', 'a', 'w', 'd', 'w', 'w', 'd', 'd', 'd', 'a', 'w', 'd', 'a', 'a', 'd', 'w', 'd', 'd', 'd', 'd', 'a', 'd', 'd', 'a', 'a', 'w', 'a', 'd', 'w']",0
Prof Ellis32,"['d', 'd', 'w', 'w', 'w', 'a', 'a', 'd', 'd', 'd', 'd', 'd', 'w', 'w', 'a', 'a', 'd', 'd', 'a', 'd', 'd', 'd', 'd', 'd', 'a', 'a', 'w', 'a', 'd', 'a', 'w', 'a', 'w', 'd', 'w', 'a', 'd', 'a', 'w', 'd']",80
Prof Ellis33,"['w', 'w', 'w', 'a', 'a', 'd', 'd', 'w', 'd', 'w', 'a', 'w', 'd', 'a', 'w', 'd', 'a', 'w', 'd', 'd', 'w', 'w', 'w', 'd', 'w', 'a', 'w', 'a', 'd', 'a', 'w', 'd', 'w', 'a', 'w', 'w', 'd', 'd', 'd', 'a']",0
Prof Ellis34,"['w', 'a', 'd', 'a', 'd', 'a', 'w', 'a', 'a', 'w', 'd', 'd', 'a', 'a', 'a', 'd', 'a', 'w', 'd', 'a', 'a', 'd', 'd', 'w', 'd', 'd', 'w', 'a', 'a', 'a', 'a', 'a', 'w', 'd', 'w', 'a', 'd', 'a', 'w', 'a']",0
Prof Ellis35,"['w', 'd', 'w', 'a', 'a', 'd', 'a', 'a', 'd', 'a', 'd', 'w', 'w', 'w', 'w', 'w', 'w', 'd', 'w', 'd', 'w', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'w', 'w', 'w', 'a', 'a', 'd', 'd', 'a', 'a', 'w', 'a', 'd']",0
Prof Ellis36,"['d', 'd', 'd', 'd', 'd', 'w', 'a', 'a', 'w', 'a', 'a', 'a', 'w', 'w', 'w', 'w', 'a', 'w', 'd', 'd', 'd', 'a', 'w', 'd', 'w', 'd', 'd', 'd', 'w', 'a', 'w', 'w', 'w', 'd', 'd', 'w', 'a', 'a', 'a', 'w']",140
Prof Ellis37,"['a', 'a', 'a', 'a', 'a', 'd', 'd', 'w', 'a', 'd', 'w', 'a', 'w', 'd', 'a', 'w', 'w', 'a', 'd', 'a', 'd', 'a', 'a', 'a', 'd', 'w', 'a', 'w', 'w', 'd', 'd', 'w', 'd', 'd', 'w', 'd', 'w', 'a', 'd', 'w']",0
